glottocode,langname,longitude,latitude,ocean_distance
port1286,Daakie,168.046,-16.3083,1312.96431595475
dagb1246,Dagbani,-0.43227,9.64745,433921.766002662
daka1243,Dakaka,168.013,-16.2696,3664.96242485887
dako1258,Dakota,263.42,45.86,1257223.44207116
dani1285,Danish,9.36284,54.8655,20204.7140873392
dehu1237,Dehu,167.229,-20.8892,6700.60626411384
tana1289,Dena'ina,209.241,60.4712,30351.2818215729
devo1240,Devon,-1,53,70847.8290577413
dhal1245,Dhalandji,114.937,-22.196,43695.4169986341
dhar1247,Dhargari,114.847,-24.0601,131817.514207264
didi1258,Didinga,33.6869,4.21489,1056194.85174347
dima1251,Dimasa,93.1806,25.4198,330478.517383961
diri1252,Diriku-Shambyu,20.6678,-18.1681,798975.35954211
djin1253,Djinang,134.82,-12.462,37037.736173958
djiw1241,Djiwarli,116.98858,-24.10724,330535.924284987
doro1266,Doromu-Koki,147.986,-9.56687,58825.8786202932
dutc1256,Dutch,5,52,47825.6937447524
dzon1239,Dzongkha,89.581604,27.410786,436913.982423893
east2387,East Limba,-11.7496,9.71107,170811.194293697
huaa1248,East Taa,20.79583,-24.20022,609386.18582991
tang1336,East-Central Tangkhul Naga,94.3567,25.0489,378574.209968344
nucl1235,Eastern Armenian,45,40,335987.826441024
east2304,Eastern Balochi,62,28,309213.665241681
east2534,Eastern Canadian Inuktitut,284.3861,62.1735,6078.89644134773
east2542,Eastern Ojibwa,280.2497,45.0112,396275.02977035
panj1256,Eastern Panjabi,75.6702,30.0368,913384.824260545
east2295,Eastern Yiddish,19.42,51.75,290504.241841477
efik1245,Efik,8.38121,4.89379,8352.41498127484
egyp1246,Egyptian,30.834959,28.381735,187952.930915423
egyp1253,Egyptian Arabic,31,31,50732.648963669
enga1252,Enga,143.685,-5.45619,188388.272693311
esan1238,Esan,6.33917,6.25685,121132.180306542
esse1265,Essex,-1,53,70847.8290577413
esto1258,Estonian,25.82,58.55,78191.7663634898
ewee1241,Ewe,0.814975,6.46061,55699.7496609321
fiji1243,Fijian,178.33,-18,14941.811332526
fili1244,Filipino,123.464,12.265,5479.23437891988
finn1318,Finnish,25.5577,64.7628,16743.4611784366
fore1270,Fore,145.5065,-6.64473,130619.709472194
stan1290,French,2,48,198543.924160316
futu1245,Futuna-Aniwa,170.215,-19.5303,75846.5512539288
fuyu1242,Fuyug,147.312,-8.6371,60586.1150606406
gaaa1244,Ga,-0.18598,5.65488,11141.1479146249
gaam1241,Gaam,33.9797,11.4674,747786.815506043
gade1242,Gade,7.49869,8.71139,411010.017293507
gali1258,Galician,-7.5343,42.2446,95241.513284752
gamb1252,Gambian Wolof,-16.1544,13.5337,9720.90947174939
gand1255,Ganda,32.15153,0.66884,971745.467515881
gari1256,Garifuna,273.09090000000003,15.3529,45529.6673835806
gbar1246,Gbari,7.10757,8.46411,364053.814672117
geda1237,Gedaged,145.781,-5.18175,1198.37492989251
geez1241,Geez,40.6821,10.1342,253715.830048241
gela1263,Gela,160.186,-9.04587,4411.52138299742
nucl1302,Georgian,43.78613,41.850397,167747.471001774
stan1295,German,12.4676,48.649,324801.263833086
giky1238,Gikyode,0.56975,8.39478,262974.333806562
gilb1244,Gilbertese,173.64,0.179,102633.858196786
meso1252,Gilit Mesopotamian Arabic,43.1095,33.8178,624898.03240158
giry1241,Giryama,39.6648,-3.30638,33774.744820039
goan1235,Goan Konkani,74.2098,15.2732,32746.3251400865
goem1240,Goemai,9.72453,8.74455,454833.872478421
gras1249,Grass Koiari,147.437,-9.51218,15636.5566066247
guar1292,Guarayu,298.3066,-15.8247,964448.056952561
guja1252,Gujarati,71.0962,22.687,69255.6654617529
gulf1241,Gulf Arabic,47.5,30.17,49662.7439579958
gung1250,Gungu,31.4819,2.06754,1106209.82837339
gwer1238,Gwere,33.8227,1.11392,827575.742588834
haaa1252,Ha,30.4894,-3.77873,951945.228219207
hais1244,Haisla,231.398,53.964,5953.34017305147
hait1244,Haitian,287.863885,18.795135,25977.1484740226
hakk1236,Hakka Chinese,116,25,176517.073284386
halh1238,Halh Mongolian,106.28874,48.32397,1373855.70303409
haus1257,Hausa,8.7804,11.1513,694878.499912329
hava1248,Havasupai-Walapai-Yavapai,246.615,35.6302,438690.604243739
hawa1245,Hawaiian,204.57,19.6297,40330.2337982468
heil1246,Heiltsuk-Oowekyala,232.779,51.7045,729.731377317821
here1253,Herero,20.5655,-21.0231,649918.155988803
hida1246,Hidatsa,258,47.33,1235380.11541919
hili1240,Hiligaynon,122.974,10.4018,13292.7468931189
hind1269,Hindi,77,25,526192.642090472
hind1270,Hindustani,78.91266666666667,20.558666666666667,528940.316433622
hmon1333,Hmong Daw,103.164,21.5461,343393.547765788
hmon1264,Hmong Njua,101.95,22.5638,509810.7768781
hooo1248,Ho,87.1188,23.9596,195305.426234117
hoch1243,Ho-Chunk,271.5,43.5,1024157.13851463
hung1274,Hungarian,19.6555271429,46.9068585714,422704.355905304
wyan1247,Huron-Wyandot,282.5,44.33,233084.729445501
iban1264,Iban,112.934,2.09041,111012.977990854
ibib1240,Ibibio,7.86688,5.15279,48947.1524347516
icel1247,Icelandic,-19.0212,63.4837,6058.7697998169
nucl1417,Igbo,7.23441,4.62705,3242.96280178629
ilok1237,Iloko,120.993,15.9361,61946.2214513406
ipai1240,Ipai,243.007,33.005,26237.5146937501
iqui1243,Iquito,286.02954,-3.31233,644744.107050905
iraq1241,Iraqw,35.2939,-4.19948,430970.85722122
iris1253,Irish,-7.61509,53.2186,87574.5187897233
isth1244,Isthmus Zapotec,265.1556,16.4548,4187.25464859681
ital1282,Italian,12.6489,43.0464,88259.6996574991
izon1238,Izon,5.51702,5.17986,5386.98171310184
nucl1643,Japanese,135,35,34290.2753886487
java1254,Javanese,109.287,-7.001,14922.4169192033
jeha1242,Jehai,101.541,5.63695,91139.4422458063
jewi1240,Jewish Babylonian Aramaic,44.245,32.273,435571.569368323
jica1244,Jicarilla Apache,252.993,36.8079,837199.326295646
djin1251,Jingulu,133.659,-17.165,312923.956638074
jude1267,Judeo-Yemeni Arabic,45,15,197852.278645367
kich1262,K'iche',268.8304,14.5278,63537.2978624712
cent2100,Kadazan Dusun,116.681,6.02998,51939.877806483
kala1397,Kalam,144.585,-5.25216,114833.057202465
kara1499,Kalamang,132.678,-3.47037,17571.894176946
kali1308,Kalispel-Pend d'Oreille,245.81,47.5825,603063.458992314
kamb1297,Kamba,37.9532,-1.60827,279292.129556296
nucl1305,Kannada,76.1198,13.5878,154202.029537037
kapi1249,Kapingamarangi,154.797223,1.039166,513400.614119814
kara1483,Karamojong,34.2761,2.45157,873815.303118075
kash1277,Kashmiri,74.330455,34.166825,1220974.09718503
newa1246,Kathmandu Valley Newari,85.326,27.67,645066.438444457
kati1270,Katë,70.9826,35.4145,1177449.52767615
kaza1248,Kazakh,71.454,51.17,1419455.43142033
khas1269,Khasi,91.9998,24.977,209170.691230889
khot1251,Khotanese,79.04,38.33,1847397.87440201
khwa1238,Khwarezmian,60.75,41.68,508860.937503451
kili1268,Kiliwa,244.877,30.5471,42687.4956007006
ling1263,Kinshasa Lingala,15.28532,-4.409174,294091.000755874
kiny1244,Kinyarwanda,29.6441,-1.56771,1118355.98446715
kips1239,Kipsigis,35.258532,-0.35774,609564.677007447
kirg1245,Kirghiz,74,42,1605991.57147714
klam1254,Klamath-Modoc,238.296,42.5861,216848.126643256
koas1236,Koasati,267.291,30.4096,80761.6582591502
kokb1239,Kok Borok,91.4673,23.1916,34138.0994832643
kore1280,Korean,126.98,37.54,28518.2072484965
kosa1249,Kosarek Yale,139.645,-4.06603,191643.872893141
kosr1238,Kosraean,162.98,5.31,707.515216562951
kuan1247,Kuanyama,16.58,-17.7176,448522.512323987
kudm1238,Kudmali,87.33,25.92,399110.996111996
kuku1273,Kuku-Yalanji,145.188,-16.0036,23869.8777894473
kumb1268,Kumbainggar,152.913,-29.8189,35226.1881642707
kuru1301,Kurukh,86.46568,24.46442,276916.854851415
kwai1243,Kwaio,160.965,-8.93744,11044.396469305
kwak1269,Kwak'wala,232.692,50.9269,249.92114700675
kwam1252,Kwamera,169.442,-19.5954,2138.77160423835
kwan1273,Kwangali,19.256,-17.9026,688264.911831953
kwom1262,Kwoma,142.664,-4.08721,89334.3773332134
kxoe1243,Kxoe,22.599835,-16.59051,1067975.897177
kyak1244,Kyaka,144.119,-5.52462,169125.261627584
kate1253,Kâte,147.757,-6.4795,9309.15583169249
komn1238,Kómnjo,141.5878,-8.70216,53689.8740887106
ladi1251,Ladino,28.6632,41.205,14704.573741016
lako1247,Lakota,256.05,46.3699,1390856.65272981
lamb1271,Lamba,27.9026,-12.3366,1090715.29393861
laoo1244,Lao,102.46,19,332470.166296657
lari1255,Larike-Wakasihu,127.956,-3.76522,778.513566442563
lati1261,Latin,12.4502,41.9026,21647.2365870186
amer1254,Latin American Spanish,-1.11788,40.4414,108555.207311718
latv1249,Latvian,24.309118,56.826108,30326.7927868184
lauu1247,Lau,160.872,-8.51018,3461.41769069379
lega1249,Lega-Shabunda,27.1424,-3.83196,1313508.77621142
lada1244,Leh Ladakhi,80.6013,33.468,1427800.53491516
lena1238,Lenakel,169.261,-19.4763,3898.60686993703
lepc1244,Lepcha,88.5726,27.0869,438294.95535757
nort3139,Levantine Arabic,36.0468,34.1709,35129.7118428828
libe1247,Liberia Kpelle,-9.96128,6.92048,97779.494920633
limb1266,Limbu,87.8859,27.2703,487037.466739664
lisu1250,Lisu,98.94,26.91,875175.111903681
lith1251,Lithuanian,23.9601,55.1429,173376.715470261
araw1276,Lokono,303.0757,5.64295,23932.8383370027
lonw1238,Lonwolwol,168.016,-16.2286,4157.26459351123
lopi1242,Lopit,32.7534,4.6986,1167387.83787572
louu1245,Lou,147.346,-2.38659,27543.1901161439
loui1240,Louisiana Creole French,269.2525,30.0412,34014.1644035187
lozi1239,Lozi,24.7398,-17.7052,1066851.96105504
lund1271,Lundayeh,115.5,4.25064,77105.7369611338
luok1236,Luo,34.4896,-0.93296,665232.099387643
lyci1241,Lycian A,29.764,36.517,37419.6148342139
maga1263,Mag-Anchi Ayta,120.459,15.1954,37410.4021963373
magu1243,Maguindanao,124.509,6.9453,49226.8200245308
maha1287,Mahasu Pahari,77.5317,31.0088,1082485.81648575
mail1248,Mailu,149.521,-10.3657,3568.97666200629
mait1250,Maithili,86.2211,26.3817,478432.808406397
mala1533,Malacca-Batavia Portuguese Creole,102.262059,2.188087,79.6965798807485
mala1464,Malayalam,76.7651,9.59208,34156.1476463328
mala1522,Malayo,286.5944,10.9286,40053.786411102
male1292,Malecite-Passamaquoddy,292.59195,45.494475,42383.7046648863
mali1284,Mali,152.214,-4.71826,18853.758482137
mamb1296,Mambwe-Lungu,31.2269,-8.86817,888728.263559432
mamp1244,Mampruli,-0.74675,10.3884,523121.676764444
mand1413,Manda,83.6749,20.0962,157588.279530571
mand1425,Mandari,31.2327,5.83656,1376631.71693664
mand1415,Mandarin Chinese,116.228,40.0209,165870.781865034
mand1436,Mandinka,-15.6539466667,12.8165233333,69559.9359307998
mang1401,Mangareva,225.03,-23.1095,442279.396268651
mani1292,Manipuri,93.3426,24.4409,256744.274443064
mans1262,Mansaka,126.181,6.79221,3643.05418197175
manx1243,Manx,-4.45437,54.2604,5550.86599215612
maor1246,Maori,176.541,-38.2881,48628.4611812542
mapu1244,Mapun,118.75,6.09061,47937.8838809568
mara1382,Mara Chin,93.0387,22.1138,116545.217532444
mara1404,Maranao,124.175,7.79414,25843.5827134705
mara1378,Marathi,76.6665,17.9344,372423.350756087
mara1385,Marra,134.865,-14.7927,58205.2393807709
mars1254,Marshallese,167.73,8.72,186010.490027307
mart1256,Martu Wangka,123.66842240336,-23.350911655789,499864.033740869
masa1300,Masai,36.4573,-3.1419,350976.266538725
masb1238,Masbatenyo,123.63579,12.21453,10321.1622732554
maya1287,Mayan,267.1557966206964,17.423987813269193,114823.403076673
mbay1241,Mbay,15.7328,8.23066,813461.207622977
mbuk1240,Mbukushu,22.5026,-17.6827,990849.524375133
medi1245,Media Lengua,281.4608,-1.04518,184102.637556944
mele1250,Mele-Fila,168.275,-17.6841,2343.62321228102
mesk1242,Meskwaki,271,44,999484.95589769
mexi1248,Mexican Spanish,-1.11788,40.4414,108555.207311718
mikm1235,Mi'kmaq,296,46,212.270790801351
midd1344,Middle Chinese,108.9,34.27,909517.877474084
midd1343,Middle High German,10.599,48.254,333638.142253485
midl1243,Midland American English,-1,53,70847.8290577413
mind1253,Min Dong Chinese,119.5,26,771.106277499454
minn1241,Min Nan Chinese,118.17,24.5,989.672489147388
misi1243,Misima-Paneati,152.696,-10.6821,90367.6794245792
misi1242,Mising-Padam-Miri-Minyong,94.69,27.418,590838.534097339
lush1249,Mizo,92.6247,22.6138,83521.2364476312
mode1248,Modern Greek,23.13,38.36,18463.6983189639
hebr1245,Modern Hebrew,35.0179,31.1056,73143.364230564
moki1238,Mokilese,159.776,6.65651,161278.727245897
monn1252,Mon,98.122465,15.49394,37927.5353532569
moro1292,Moroccan Arabic,-7.5,32.5,118885.761535247
luxe1241,Moselle Franconian,6.14931,49.6839,233038.806712085
mota1237,Mota,167.690924,-13.835361,14869.7853053011
mudb1240,Mudburra,132.329,-16.7694,340292.584697524
muna1247,Muna,122.541,-5.40419,1636.20983614493
mund1320,Mundari,85.85,23.03,213252.071927273
mung1266,Mungaka,10.0294,5.89752,193556.800460229
muru1266,Muruwari,146.546,-28.9618,650661.021767426
mush1238,Mushungulu,42.6626,0.00689,17959.9755388887
mwag1236,Mwaghavul,8.96522,9.47205,511792.055954684
misk1235,Mískito,275.7058,15.1576,34471.916151764
sout2856,Nafsan,168.377,-17.7006,9051.49753833688
naka1262,Nakanai,150.888,-5.59931,16654.7289879586
nanc1247,Nancowry,93.3921,7.94812,3545.39492462028
nand1266,Nandi,35.408478,0.793737,660522.17349121
naro1249,Naro,20.7458,-22.0939,642958.691847693
yong1270,Narua,100.9,27.8,956012.139634472
nava1243,Navajo,250.62,36.33,664445.362643896
ncan1245,Ncane-Mungong,10.5312,6.50696,281131.036458826
ndau1241,Ndau,33.1739,-20.1239,161256.056392618
ndon1254,Ndonga,17.35,-17.22,546589.844600645
nenn1238,Nen,142.032,-8.62183,51127.3421694496
neng1238,Nengone,167.964,-21.5305,8650.73543581777
nucl1706,Neo-Mandaic,48.8128,31.3443,94885.6535534671
nepa1254,Nepali,85,28,691946.710358093
nezp1238,Nez Perce,243.592,46.3073,467347.926490864
ngaa1240,Ngaanyatjarra,127.602,-25.7514,674580.167923335
ngal1292,Ngalkbun,133.936,-13.9783,180457.114087131
ngan1295,Ngandi,134.649,-12.8448,83323.77304855
niue1239,Niuean,190.14,-19.06,5192.79968301202
nort2943,North Alaskan Inupiatun,216.23,69.582,53694.0524761495
nort2697,North Azerbaijani,46.4737,40.97768,192612.568203435
nort2671,North Saami,22.1113,68.725,103819.80250973
nort2952,Northeast Maidu,239.355,40.4102,272101.220937662
nort2875,Northern Alta,121.454,15.6913,15258.6775930502
nort2810,Northern Grebo,-8.1409,5.17103,63142.7483184391
nort2646,Northern Pashto,71.33,34,1049024.53745699
tosk1239,Northern Tosk Albanian,20,41,45372.2752812247
nort2690,Northern Uzbek,69.211,40.886,1215869.49996091
yaki1237,Northwest Sahaptin,239.244,46.2655,172026.565696883
