glottocode,langname,longitude,latitude,ocean_distance
suda1236,Sudanese Arabic,33.3179,17.8021,449977.746019837
sume1241,Sumerian,45.6667,31.3,263815.1567222
sund1252,Sundanese,107.106,-6.89708,61317.0268247689
surs1246,Sursurunga,152.768,-3.99078,7699.3765818634
suss1239,Sussex,-1,53,70847.8290577413
swah1253,Swahili,37.624,-8.25605,185697.952869782
swat1243,Swati,31.5,-26,108977.908704698
swed1254,Swedish,17.389526,59.800634,58742.2233181199
taga1270,Tagalog,121.747,14.06,8315.1933209766
tahi1242,Tahitian,210.55,-17.6485,10957.1772882443
taid1250,Tai Dón,103.570496667,21.84898,328570.905029409
tain1252,Tai Nüa,99.722,21.7837,572586.568502572
taku1257,Takuu,157.032085,-4.773094,212941.072813531
tali1258,Talinga-Bwisi,29.9494,0.676185,1189639.73678021
tali1259,Talise,160.231,-9.76764,5687.33345431861
malo1243,Tamambo,167.16,-15.6835,3911.7606410492
tami1289,Tamil,78.825989,10.520219,60429.3606350019
tamp1252,Tampulma,-1.35467,9.75577,478850.644002432
tana1290,Tanacross,216.662,63.4046,296943.054563591
nucl1696,Tangale,11.3228,9.75444,633644.108624172
tang1348,Tangga,153.611,-4.08824,986.404403575133
tari1263,Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber,-3.430616,34.916974,32947.3495142533
taus1251,Tausug,118.88,5.12236,11598.7162472052
tbol1240,Tboli,124.538,6.20377,15348.7082784243
tean1237,Teanu,166.868,-11.6752,127.361167112968
teee1242,Tee,7.37553,4.73213,18439.4955412843
tele1256,Telefol,141.731,-5.07444,226351.528865323
telu1262,Telugu,78.7024,16.4529,188964.878108243
temi1246,Temiar,101.438,4.974,97960.1805449801
teop1238,Teop,154.971,-5.67474,13360.6443469299
tere1278,Terei,155.745,-6.70051,12477.2253684627
tetu1245,Tetum,125.528,-9.11217,12733.0440823949
thai1261,Thai,100.671,14.192,69755.5986776139
thao1240,Thao,120.93,23.8333,61712.7604478943
thay1249,Thayore,142.034,-14.8159,46447.0215078876
thom1243,Thompson,239.807,50.1668,210894.174727393
tibe1272,Tibetan,90.1872,28.3681,532780.271732514
tigr1271,Tigrinya,38.9266,15.3359,65879.549906136
tiko1237,Tikopia,168.822,-12.2766,215622.64307591
tiri1258,Tiri-Mea,165.792,-21.8147,689.260178056952
tivv1240,Tiv,9.26287,6.88039,244554.511117173
tiwi1244,Tiwi,130.949,-11.6308,27748.9851776638
toab1237,To'abaita,160.619,-8.39233,1245.03936577844
toar1246,Toaripi,146.206,-8.07231,14535.5084407983
toho1245,Tohono O'odham,248.005,31.7973,121111.859543093
tokp1240,Tok Pisin,147.303,-9.41971,15061.7607773301
toke1240,Tokelau,188.219167,-9.227642,64334.6437385395
tong1325,Tonga,184.75,-21.17,2940.83335530675
tonk1249,Tonkawa,263.25,30.25,170314.115179603
trin1276,Trinidadian Creole English,298.5829,10.4208,6809.80408721217
tson1249,Tsonga,31.8105,-23.5754,241976.292669269
tswa1253,Tswana,24.7587,-24.368,808633.679358585
tuam1242,Tuamotuan,213.678245,-16.17259,75856.6913572844
tulu1258,Tulu,75.2651,12.8114,40597.5216721809
tumu1242,Tumulung Sisaala,-1.79707,10.63451,587637.182158878
tuni1252,Tunica,267.4597,30.9888,141354.142673644
turk1308,Turkana,35.7101,4.30688,909253.081986407
nucl1301,Turkish,32.8667,39.8667,192674.801025932
turk1304,Turkmen,59.17574,37.08719,457957.029355388
tuva1244,Tuvalu,179.198088,-8.520813,86.0959787257287
tuvi1240,Tuvinian,94.36667,51.7,1955550.56157504
tuwa1243,Tuwali Ifugao,121.113,16.6646,81635.5679995009
twee1234,Tweed-Albert,153.286993,-28.028726,15951.1289889349
tzot1259,Tzotzil,267.26120000000003,16.6362,130528.208736491
uigh1240,Uighur,87.38,43.88,2275128.78800998
ukra1253,Ukrainian,29.945,49.796,316784.602335941
ulst1239,Ulster,-3.710133,55.886945,15702.2332757574
unam1242,Unami,285.7,40.4,7977.30146100472
uppe1439,Upper Chehalis,236.831,46.7981,39386.8706743321
uppe1395,Upper Sorbian,14.4098,51.2403,267022.681487722
urak1238,Urak Lawoi',99.0768,7.5258,1708.79037274691
urdu1245,Urdu,67,25,20802.1798251916
urho1239,Urhobo,5.86148,5.31155,38655.2969211737
urip1240,Uripiv,167.34643,-16.00951,2870.968580258
utes1238,Ute-Southern Paiute,249.695,40.0965,986917.534681095
vend1245,Venda,29.9523,-22.188,477966.236327078
viet1252,Vietnamese,105.774071,20.681188,82650.0628181432
vure1239,Vurës,167.451412,-13.905677,209.598791465182
wamp1249,Wampanoag,286.6852,41.705,56877.0464574489
wamp1247,Wampar,146.662,-6.67364,36812.7577458595
wand1263,Wandarang,135.705,-14.2996,2742.66866668244
wara1303,Warao,300.6472,7.50851,58367.3660028325
wara1300,Waray,125.012,11.4911,6851.78290704954
wari1262,Wariyangga,116.927,-24.353,319953.159009283
warl1254,Warlpiri,131.05,-20.1008,571654.510251193
wels1247,Welsh,-4,52,33433.882477338
wers1238,Wersing,124.932,-8.33936,4046.32839579518
west2721,West Central Oromo,36.7365,8.81391,702033.672265256
west2599,West Kewa,143.73,-6.32097,126964.722920518
west2630,Western Abenaki,287.3489,46.1381,7944.05640209139
west2615,Western Apache,249.877,33.8574,404719.417674409
west2555,Western Bukidnon Manobo,124.825,7.6682,74563.1807459256
west2618,Western Canadian Inuktitut,263.852,64.3486,120535.570298759
west2369,Western Farsi,53.3,32.9,426066.073317121
vlaa1240,Western Flemish,3.11345,51.0754,23602.8694325432
west2354,Western Frisian,5.86091,53.143,22528.1730556334
west2624,Western Huasteca Nahuatl,261.2289,21.3711,120023.49382362
west2763,Western Neo-Aramaic,36.484,33.8162,83980.5759602466
west1510,Western Ojibwa,257.475,50.5664,951405.72396137
west2386,Western Panjabi,75.3474,30.0948,909819.291146328
west2420,Western Parbate Kham,82.7348,28.6521,871659.656911977
west2452,Western Temne,-12.3331,8.90294,68472.4755860816
sanj1284,Western Tlacolula Valley Zapotec,263.4033,17.0332,139818.876030294
west2443,Western Victoria,143.6694397,-34.13829932,421779.763461103
wikm1247,Wik-Mungkan,141.81611,-13.98051,29519.3559489523
wilt1234,Wiltshire-Hampshire,-1,53,70847.8290577413
wira1265,Wirangu,134,-32,36013.798901657
wole1240,Woleaian,143.916,7.37957,659190.141951183
nucl1347,Wolof,-15.383,15.2534,138054.530726989
wuch1236,Wu Chinese,119.682,29.8621,64902.4388925391
nung1290,Wubuy,135.753,-14.2623,1434.1462842589
xhos1239,Xhosa,28.0769,-31.0389,145962.681228409
xara1244,Xârâcùù,165.996,-21.7034,23138.9638977734
yabe1254,Yabem,147.81,-6.67052,2412.9362148677
yaga1260,Yagaria,145.388,-6.32432,107890.490210608
yaka1277,Yakan,122.021729,6.531023,12378.366744838
yana1271,Yana,238.392,39.2769,132660.732211839
yand1253,Yandruwandha,140.583,-28.4744,529219.114648871
yank1247,Yankunytjatjara,133.577,-26.4064,609918.396250009
yaoo1241,Yao,35.2387,-13.6119,503026.251756974
yape1248,Yapese,138.125,9.55811,80.2160960119418
yaqu1251,Yaqui,249.319,29.9446,166949.723239467
yeyi1239,Yeyi,23.6088,-18.9178,1028969.66814712
ying1247,Yinggarda,115.58,-25.4446,144184.777081046
yiry1245,Yir-Yoront,141.767,-15.1117,16319.6141804681
yoga1237,Yogad,121.718,16.7015,61641.0601343515
yoru1245,Yoruba,3.67225,7.15345,61966.1351883893
yuca1254,Yucatec Maya,271.0433,18.7757,77352.2905917352
yuec1235,Yue Chinese,113,23,35280.0996609211
gami1243,Yuwaalaraay-Gamilaraay,149.543,-29.9037,342970.950737542
yama1264,Yámana,291.7352,-55.2748,1901.96748523234
zand1248,Zande,26.7157,4.62047,1706589.22127896
zigu1244,Zigula-Mushungulu,38.41138,-5.61864,52246.7432264054
zulu1248,Zulu,30.2,-28.9,121033.769101578
zuni1245,Zuni,251.218,35.0056,581991.334696898
ayiw1239,Äiwoo,166.328715,-10.282595,49143.2502531173
